Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,E19 - Learning Resources,AMAZON EU,22/06/2015,4380,9.98
Children's Family Services,Education CFR Administrative S,AMAZON EU,02/10/2015,5512,25.18
Children's Family Services,Education CFR Administrative S,AMAZON EU,04/09/2015,5221,43.53
Children's Family Services,Education CFR Administrative S,AMAZON EU,15/07/2015,4669,86.87
Children's Family Services,Education CFR Administrative S,AMAZON EU,18/11/2015,6065,91.3
Children's Family Services,Education CFR Administrative S,AMAZON EU,22/06/2015,4381,4.07
Children's Family Services,Education CFR Other Occupation,AMAZON EU,02/10/2015,5513,23.33
Children's Family Services,Education CFR Other Occupation,AMAZON EU,23/11/2015,6094,15.82
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,01/06/2015,3265,55.92
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,01/06/2015,3268,22.67
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,01/06/2015,3279,13.98
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,01/10/2015,5505,13.95
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,01/12/2015,6208,5.93
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,02/07/2015,4512,-10.64
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,08/07/2015,4600,233.98
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,10/09/2015,5291,11.5
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,13/07/2015,4638,309.98
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,21/09/2015,5371,10.8
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,21/09/2015,5376,751.75
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,22/01/2016,6769,197.94
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,22/06/2015,4366,91.27
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,22/06/2015,4377,34.07
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,22/10/2015,5728,12.95
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,23/07/2015,4768,9.99
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,23/09/2015,5409,751.75
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,25/09/2015,5436,-751.75
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,26/06/2015,4443,63.79
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,26/10/2015,5751,80.46
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,28/08/2015,5166,19.95
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,29/09/2015,5469,49.99
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,31/08/2015,5192,228.96
Children's Family Services,Equipment and Materials Purcha,AMAZON EU,31/08/2015,5193,250
Children's Family Services,Miscellaneous Expenses,AMAZON EU,03/07/2015,4543,21.32
Children's Family Services,Miscellaneous Expenses,AMAZON EU,07/07/2015,4569,7.12
Children's Family Services,Miscellaneous Expenses,AMAZON EU,17/06/2015,4316,20.3
Children's Family Services,Miscellaneous Expenses,AMAZON EU,21/09/2015,5379,17.24
Children's Family Services,Other Agencies - Third Party P,AMAZON EU,22/07/2015,4736,8.44
Children's Family Services,Other Services,AMAZON EU,03/06/2015,3306,26
Children's Family Services,Other Services,AMAZON EU,04/08/2015,4882,19.09
Children's Family Services,Other Services,AMAZON EU,05/08/2015,4886,7
Children's Family Services,Other Services,AMAZON EU,05/08/2015,4887,11.76
Children's Family Services,Other Services,AMAZON EU,05/08/2015,4893,2.99
Children's Family Services,Other Services,AMAZON EU,14/08/2015,5011,21.68
Children's Family Services,Other Services,AMAZON EU,22/07/2015,4732,39.67
Children's Family Services,Other Services,AMAZON EU,22/10/2015,5720,8.32
Children's Family Services,Other Services,AMAZON EU,22/10/2015,5722,34.88
Children's Family Services,Other Services,AMAZON EU,23/06/2015,4406,84.06
Children's Family Services,Other Services,AMAZON EU,23/06/2015,4407,17.49
Children's Family Services,Other Services,AMAZON EU,23/06/2015,4408,22.32
Children's Family Services,Other Services,AMAZON EU,26/01/2016,6819,30.96
Children's Family Services,Other Transfer Payments to Soc,AMAZON EU,21/12/2015,6473,59.99
Children's Family Services,Other Transfer Payments to Soc,AMAZON EU,25/09/2015,5430,51.28
Children's Family Services,Other Transfer Payments to Soc,AMAZON EU,29/07/2015,4827,24.57
Children's Family Services,Publications,AMAZON EU,11/06/2015,4230,12.31
Children's Family Services,Stationery,AMAZON EU,05/10/2015,5533,24.73
Children's Family Services,Stationery,AMAZON EU,08/02/2016,6993,20.67
Children's Family Services,Stationery,AMAZON EU,17/02/2016,7105,22.01
Children's Family Services,Stationery,AMAZON EU,20/07/2015,4695,230.72
Children's Family Services,Stationery,AMAZON EU,21/03/2016,7519,19.32
Children's Family Services,Stationery,AMAZON EU,30/07/2015,4842,17.73
Children's Service DSG,Books-CDs-Audio-Video,AMAZON EU,10/12/2015,6336,29.86
Children's Service DSG,Books-CDs-Audio-Video,AMAZON EU,21/10/2015,5703,21.85
Children's Service DSG,Books-CDs-Audio-Video,AMAZON EU,21/10/2015,5704,20.12
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,01/12/2015,6224,10.99
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,02/11/2015,5839,50.69
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,02/11/2015,5840,25.51
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,02/12/2015,6254,88.57
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,05/11/2015,5895,14.53
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,06/08/2015,4912,279.3
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,07/07/2015,4573,25.34
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,08/12/2015,6312,25
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,09/11/2015,5948,58.76
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,10/12/2015,6337,15.48
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,11/06/2015,4245,32
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,11/12/2015,6354,53.99
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,14/12/2015,6375,-3.99
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,14/12/2015,6376,-2
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,16/02/2016,7099,47.57
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,18/02/2016,7133,24.51
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,19/11/2015,6073,40.74
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,19/11/2015,6074,-50.69
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,22/10/2015,5724,17.84
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,22/10/2015,5725,205
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,23/11/2015,6108,38.97
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,23/11/2015,6113,19.99
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,24/02/2016,7195,26.38
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,26/11/2015,6156,75.87
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,27/11/2015,6165,112.77
Children's Service DSG,Equipment and Materials Purcha,AMAZON EU,28/03/2016,7611,13.99
Commissioning,Equipment and Materials Purcha,AMAZON EU,02/03/2016,7301,101.68
Commissioning,Equipment and Materials Purcha,AMAZON EU,06/01/2016,6587,55.94
Customer Support Group,Equipment and Materials Repair,AMAZON EU,17/08/2015,5030,103.99
Parking & Infrastructure,Equipment and Materials Purcha,AMAZON EU,01/10/2015,5497,159.67
Streetscene,Equipment and Materials Purcha,AMAZON EU,01/12/2015,6198,6.01
Streetscene,Equipment and Materials Purcha,AMAZON EU,01/12/2015,6229,24.04
Streetscene,Equipment and Materials Purcha,AMAZON EU,08/12/2015,6304,30.05
Streetscene,Equipment and Materials Purcha,AMAZON EU,08/12/2015,6305,6.01
Streetscene,Equipment and Materials Purcha,AMAZON EU,10/12/2015,6333,18.03
Streetscene,Equipment and Materials Purcha,AMAZON EU,13/08/2015,4992,13.41
Streetscene,Equipment and Materials Purcha,AMAZON EU,14/08/2015,5004,89.89
Streetscene,Equipment and Materials Purcha,AMAZON EU,15/06/2015,4284,26.12
Streetscene,Equipment and Materials Purcha,AMAZON EU,15/06/2015,4285,14.16
Streetscene,Equipment and Materials Purcha,AMAZON EU,15/06/2015,4292,44.02
Streetscene,Equipment and Materials Purcha,AMAZON EU,16/10/2015,5653,44.94
Streetscene,Equipment and Materials Purcha,AMAZON EU,17/08/2015,5027,7.68
Streetscene,Equipment and Materials Purcha,AMAZON EU,24/07/2015,4780,82.84
Streetscene,Equipment and Materials Purcha,AMAZON EU,24/08/2015,5092,7.69
Streetscene,Equipment and Materials Purcha,AMAZON EU,24/08/2015,5093,7.68
Streetscene,Equipment and Materials Purcha,AMAZON EU,30/11/2015,6186,12.02
Children's Family Services,E19 - Learning Resources,AMAZON PRIME,16/10/2015,5650,65.83
Children's Family Services,Education CFR Administrative S,AMAZON PRIME,22/10/2015,5713,-65.83
Children's Family Services,Other Services,AMAZON PRIME,01/12/2015,6219,79
Children's Family Services,Other Services,AMAZON PRIME,02/11/2015,5851,79
Streetscene,Equipment and Materials Purcha,AMAZON PRIME,16/11/2015,6026,79
Children's Education & Skills,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",14/01/2016,6667,44.6
Children's Education & Skills,Stationery,"AMAZON SVCS EUROPE,SAR",08/10/2015,5579,2.7
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",01/02/2016,6901,12.7
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",07/09/2015,5240,4.77
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",08/01/2016,6608,11.67
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",12/05/2015,3103,2.81
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",15/01/2016,6683,6.68
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",17/11/2015,6049,10.17
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",18/05/2015,3135,15.13
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",18/08/2015,5046,4.8
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",22/10/2015,5727,16.64
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",25/02/2016,7222,4.54
Children's Family Services,Books-CDs-Audio-Video,"AMAZON SVCS EUROPE,SAR",28/08/2015,5175,8.3
Children's Family Services,Building Repairs & Maintenance,"AMAZON SVCS EUROPE,SAR",17/06/2015,4317,22.7
Children's Family Services,Building Repairs & Maintenance,"AMAZON SVCS EUROPE,SAR",18/06/2015,4337,6.95
Children's Family Services,E25 - Catering Supplies,"AMAZON SVCS EUROPE,SAR",08/06/2015,4168,9.13
Children's Family Services,E25 - Catering Supplies,"AMAZON SVCS EUROPE,SAR",30/06/2015,4495,5.48
Children's Family Services,Education CFR Administrative S,"AMAZON SVCS EUROPE,SAR",24/09/2015,5412,4.98
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",01/05/2015,3041,11.62
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",01/05/2015,3042,15.84
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",01/05/2015,3043,9.98
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",02/10/2015,5523,33.32
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",04/05/2015,3050,4.16
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",04/05/2015,3051,6.45
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",05/06/2015,4155,48.09
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",05/06/2015,4160,3.73
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",07/09/2015,5247,7.32
Children's Family Services,Equipment and Materials Purcha,"AMAZON SVCS EUROPE,SAR",07/09/2015,5254,6.5
