Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,14/05/2015,3111,21.96
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,15/06/2015,4261,1.94
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,17/11/2015,6048,16
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,18/11/2015,6055,10.97
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,20/08/2015,5072,10
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,21/12/2015,6474,4.96
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,22/09/2015,5391,17.6
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,22/10/2015,5718,10
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,22/10/2015,5721,5
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,23/07/2015,4751,13.56
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,23/11/2015,6110,4.96
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,24/07/2015,4782,14.46
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,24/07/2015,4785,4
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,25/05/2015,3191,13.18
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,26/06/2015,4436,13.17
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE,29/06/2015,4467,20.4
Children's Family Services,E19 - Learning Resources,ASDA SUPERSTORE,16/12/2015,6408,6.45
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,02/07/2015,4510,27.05
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,08/01/2016,6600,38.73
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,10/02/2016,7028,21.09
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,12/11/2015,5986,25.27
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,18/06/2015,4333,2.67
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,23/02/2016,7174,22.73
Children's Family Services,E25 - Catering Supplies,ASDA SUPERSTORE,23/11/2015,6093,9.28
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,02/11/2015,5829,3.5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,03/03/2016,7316,20
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,03/03/2016,7317,13.65
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,03/09/2015,5213,35.5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,05/06/2015,4152,64
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,07/01/2016,6593,33
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,07/05/2015,3073,6
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,08/06/2015,4181,11.54
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,08/10/2015,5581,18
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,11/02/2016,7057,20.22
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,14/01/2016,6665,16
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,17/03/2016,7498,14.5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,17/11/2015,6046,25
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,17/12/2015,6428,53.98
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,19/02/2016,7142,5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,21/12/2015,6474,16
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,24/02/2016,7191,126
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,24/07/2015,4783,70
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,24/07/2015,4785,21.5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,24/09/2015,5417,73.35
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,25/02/2016,7206,35.5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,25/06/2015,4434,15
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,26/02/2016,7230,5.75
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,26/02/2016,7233,-5
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,26/06/2015,4436,22.3
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,27/08/2015,5147,4
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE,28/01/2016,6845,15
Children's Family Services,Food Costs,ASDA SUPERSTORE,01/10/2015,5498,37.75
Children's Family Services,Food Costs,ASDA SUPERSTORE,02/07/2015,4513,23.46
Children's Family Services,Food Costs,ASDA SUPERSTORE,02/07/2015,4534,4
Children's Family Services,Food Costs,ASDA SUPERSTORE,02/11/2015,5829,3.94
Children's Family Services,Food Costs,ASDA SUPERSTORE,03/03/2016,7317,26.98
Children's Family Services,Food Costs,ASDA SUPERSTORE,03/09/2015,5213,84.95
Children's Family Services,Food Costs,ASDA SUPERSTORE,03/12/2015,6258,32.15
Children's Family Services,Food Costs,ASDA SUPERSTORE,04/02/2016,6955,9
Children's Family Services,Food Costs,ASDA SUPERSTORE,05/06/2015,4152,14.5
Children's Family Services,Food Costs,ASDA SUPERSTORE,05/11/2015,5892,27.96
Children's Family Services,Food Costs,ASDA SUPERSTORE,07/01/2016,6593,33.2
Children's Family Services,Food Costs,ASDA SUPERSTORE,08/06/2015,4170,102.84
Children's Family Services,Food Costs,ASDA SUPERSTORE,08/06/2015,4181,8.83
Children's Family Services,Food Costs,ASDA SUPERSTORE,08/10/2015,5581,22.26
Children's Family Services,Food Costs,ASDA SUPERSTORE,09/02/2016,7015,45.2
Children's Family Services,Food Costs,ASDA SUPERSTORE,09/07/2015,4609,24.76
Children's Family Services,Food Costs,ASDA SUPERSTORE,09/09/2015,5267,5.7
Children's Family Services,Food Costs,ASDA SUPERSTORE,10/02/2016,7048,5
Children's Family Services,Food Costs,ASDA SUPERSTORE,10/09/2015,5282,35.41
Children's Family Services,Food Costs,ASDA SUPERSTORE,10/12/2015,6334,44.61
Children's Family Services,Food Costs,ASDA SUPERSTORE,11/02/2016,7057,18.59
Children's Family Services,Food Costs,ASDA SUPERSTORE,11/03/2016,7413,16.11
Children's Family Services,Food Costs,ASDA SUPERSTORE,12/02/2016,7068,11.2
Children's Family Services,Food Costs,ASDA SUPERSTORE,12/10/2015,5604,8.95
Children's Family Services,Food Costs,ASDA SUPERSTORE,12/11/2015,5988,61.02
Children's Family Services,Food Costs,ASDA SUPERSTORE,13/01/2016,6654,4.79
Children's Family Services,Food Costs,ASDA SUPERSTORE,14/01/2016,6665,125.69
Children's Family Services,Food Costs,ASDA SUPERSTORE,15/06/2015,4261,118
Children's Family Services,Food Costs,ASDA SUPERSTORE,16/09/2015,5341,4.99
Children's Family Services,Food Costs,ASDA SUPERSTORE,16/12/2015,6421,3
Children's Family Services,Food Costs,ASDA SUPERSTORE,17/03/2016,7498,48.82
Children's Family Services,Food Costs,ASDA SUPERSTORE,17/08/2015,5026,13.6
Children's Family Services,Food Costs,ASDA SUPERSTORE,17/09/2015,5350,79.69
Children's Family Services,Food Costs,ASDA SUPERSTORE,17/11/2015,6047,4
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/02/2016,7118,11.68
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/02/2016,7120,27.7
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/05/2015,3125,53.72
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/11/2015,6055,3.97
Children's Family Services,Food Costs,ASDA SUPERSTORE,18/12/2015,6448,9.42
Children's Family Services,Food Costs,ASDA SUPERSTORE,19/02/2016,7142,12.91
Children's Family Services,Food Costs,ASDA SUPERSTORE,19/05/2015,3140,6.65
Children's Family Services,Food Costs,ASDA SUPERSTORE,19/05/2015,3147,89
Children's Family Services,Food Costs,ASDA SUPERSTORE,19/06/2015,4363,86.17
Children's Family Services,Food Costs,ASDA SUPERSTORE,19/11/2015,6070,23.59
Children's Family Services,Food Costs,ASDA SUPERSTORE,20/05/2015,3160,5.5
Children's Family Services,Food Costs,ASDA SUPERSTORE,20/08/2015,5072,1.75
Children's Family Services,Food Costs,ASDA SUPERSTORE,20/08/2015,5073,87.05
Children's Family Services,Food Costs,ASDA SUPERSTORE,21/12/2015,6474,3.8
Children's Family Services,Food Costs,ASDA SUPERSTORE,22/01/2016,6772,5.7
Children's Family Services,Food Costs,ASDA SUPERSTORE,22/10/2015,5718,9
Children's Family Services,Food Costs,ASDA SUPERSTORE,22/10/2015,5721,52.82
Children's Family Services,Food Costs,ASDA SUPERSTORE,23/10/2015,5734,10
Children's Family Services,Food Costs,ASDA SUPERSTORE,23/12/2015,6520,14.27
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/02/2016,7191,1.8
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/07/2015,4775,19.25
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/07/2015,4782,57.96
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/07/2015,4785,1.5
Children's Family Services,Food Costs,ASDA SUPERSTORE,24/09/2015,5417,6.02
Children's Family Services,Food Costs,ASDA SUPERSTORE,25/02/2016,7206,47.82
Children's Family Services,Food Costs,ASDA SUPERSTORE,25/05/2015,3191,92.49
Children's Family Services,Food Costs,ASDA SUPERSTORE,25/06/2015,4434,14.01
Children's Family Services,Food Costs,ASDA SUPERSTORE,26/06/2015,4436,20.84
Children's Family Services,Food Costs,ASDA SUPERSTORE,27/08/2015,5147,53.38
Children's Family Services,Food Costs,ASDA SUPERSTORE,28/01/2016,6845,49.31
Children's Family Services,Food Costs,ASDA SUPERSTORE,28/10/2015,5795,13.8
Children's Family Services,Food Costs,ASDA SUPERSTORE,30/07/2015,4843,35.68
Children's Family Services,Food Costs,ASDA SUPERSTORE,30/11/2015,6174,3.86
Children's Family Services,Other Services,ASDA SUPERSTORE,11/08/2015,4953,46.39
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,03/09/2015,5213,8
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,05/10/2015,5532,-7.5
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,10/12/2015,6334,30.5
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,22/10/2015,5721,24
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,26/08/2015,5136,16.5
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,27/08/2015,5147,7
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,29/06/2015,4468,1
Children's Family Services,Other Transfer Payments to Soc,ASDA SUPERSTORE,29/06/2015,4469,1.94
Children's Family Services,Publications,ASDA SUPERSTORE,02/11/2015,5829,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,08/06/2015,4170,0.55
Children's Family Services,Publications,ASDA SUPERSTORE,09/02/2016,7015,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,09/09/2015,5267,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,12/02/2016,7068,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,15/06/2015,4261,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,18/02/2016,7118,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,18/05/2015,3125,0.55
Children's Family Services,Publications,ASDA SUPERSTORE,19/05/2015,3140,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,21/12/2015,6474,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,23/07/2015,4751,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,23/10/2015,5734,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,24/02/2016,7191,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,25/05/2015,3191,0.55
Children's Family Services,Publications,ASDA SUPERSTORE,28/10/2015,5795,0.6
Children's Family Services,Publications,ASDA SUPERSTORE,30/11/2015,6174,0.6
Children's Family Services,Stationery,ASDA SUPERSTORE,08/06/2015,4181,16
Children's Family Services,Stationery,ASDA SUPERSTORE,09/02/2016,7015,2.5
Children's Family Services,Training,ASDA SUPERSTORE,21/01/2016,6755,65.36
Children's Family Services,Cleaning and domestic material,ASDA SUPERSTORE0000,21/05/2015,5686,13.96
Children's Family Services,Equipment and Materials Purcha,ASDA SUPERSTORE0000,21/05/2015,5715,68.45
Children's Family Services,Food Costs,ASDA SUPERSTORE0000,21/05/2015,5828,38.8
Children's Family Services,Other Services,ASDAN,03/03/2016,7319,368.78
Children's Family Services,Other Services,ASDAN,11/06/2015,4237,9.06
Children's Family Services,Other Services,ATG TICKET WEB,08/02/2016,6988,127.5
Children's Education & Skills,Food Costs,ATLANTIC SHOPPING,07/07/2015,4561,179.96
Children's Family Services,Other Transfer Payments to Soc,AUTO-STORE(MOTOR F,24/12/2015,6534,12.99
Children's Family Services,Building Repairs & Maintenance,B  Q000000000000000,21/05/2015,5778,8.33
Children's Family Services,Building Repairs & Maintenance,B  Q000000000000000,21/05/2015,5780,2.15
Children's Family Services,Building Repairs & Maintenance,B  Q000000000000000,21/05/2015,5782,2.98
Children's Family Services,Building Repairs & Maintenance,B  Q000000000000000,21/05/2015,5784,1.82
Assurance,Miscellaneous Expenses,B & Q,19/02/2016,7143,19.35
Children's Family Services,Building Repairs & Maintenance,B & Q,14/08/2015,4999,57.47
Children's Family Services,Building Repairs & Maintenance,B & Q,16/11/2015,6012,97.3
Children's Family Services,Building Repairs & Maintenance,B & Q,17/12/2015,6424,42.58
Children's Family Services,Equipment and Materials Purcha,B & Q,12/06/2015,4257,176.29
Children's Family Services,Equipment and Materials Purcha,B & Q,19/06/2015,4364,164
Children's Family Services,Equipment and Materials Purcha,B & Q,29/06/2015,4455,101.38
Children's Family Services,Other Services,B & Q,06/01/2016,6574,53.61
Children's Family Services,Other Services,B & Q,11/05/2015,3088,30.23
Children's Family Services,Other Services,B & Q,17/12/2015,6426,21
Children's Family Services,Equipment and Materials Purcha,B AND M,23/11/2015,6114,11.98
Children's Family Services,Building Repairs & Maintenance,B AND Q 1072,23/03/2016,7557,37.88
Children's Family Services,Equipment and Materials Purcha,B AND Q 1072,18/03/2016,7504,28.52
Children's Education & Skills,Equipment and Materials Purcha,B&Q,12/08/2015,4982,115.71
Children's Family Services,Food Costs,BABA CONFECTIONERY,03/02/2016,6933,2.99
Children's Family Services,Food Costs,BABA CONFECTIONERY,22/01/2016,6766,3.58
Children's Family Services,Food Costs,BABA CONFECTIONERY,28/01/2016,6843,2
Children's Family Services,Travelling Expenses,BABA CONFECTIONERY,03/02/2016,6933,15
Children's Family Services,Travelling Expenses,BABA CONFECTIONERY,22/01/2016,6766,10
Children's Family Services,Travelling Expenses,BABA CONFECTIONERY,28/01/2016,6843,15
Children's Family Services,Miscellaneous Expenses,BACCHUS HOTEL LTD,30/07/2015,4845,57.12
Children's Family Services,Equipment and Materials Purcha,BAMBUZO LLC,18/06/2015,4331,17.01
Children's Family Services,Other Services,BANHAM GROUP,24/12/2015,6535,115.2
Children's Family Services,Other Transfer Payments to Soc,BARNET COLLEGE,25/11/2015,6143,5
Children's Family Services,Building Repairs & Maintenance,BARNET LOCK CENTRE LTD,20/10/2015,5683,54
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,10/11/2015,5962,9.2
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,24/11/2015,6132,27
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,29/07/2015,4826,54
Children's Family Services,Equipment and Materials Purcha,BARNET LOCK CENTRE LTD,30/07/2015,4840,27
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,01/07/2015,4501,15
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,07/01/2016,6597,90
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,10/08/2015,4941,15
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,20/07/2015,4697,15
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,21/09/2015,5377,30
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,21/09/2015,5378,30
Children's Family Services,Miscellaneous Expenses,BARNET REGISTER OFFICE,28/01/2016,6851,30
Children's Family Services,Other Agencies - Third Party P,BARNET REGISTER OFFICE,07/10/2015,5573,30
Children's Family Services,Other Agencies - Third Party P,BARNET REGISTER OFFICE,21/05/2015,3167,12.5
Assurance,Equipment and Materials Purcha,BARTLETTS KEY SERVICES,02/03/2016,7280,4.25
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,09/09/2015,5277,7.49
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,09/09/2015,5278,114.2
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,09/11/2015,5926,19.24
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,10/06/2015,4222,27.73
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,13/01/2016,6642,74.85
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,14/12/2015,6381,36.92
Children's Family Services,Building Repairs & Maintenance,BARTLETTS KEY SERVICES,28/01/2016,6857,24.96
Children's Family Services,Equipment and Materials Purcha,BARTLETTS KEY SERVICES,04/11/2015,5879,93.88
Children's Family Services,Equipment and Materials Purcha,BARTLETTS KEY SERVICES,05/08/2015,4888,3.4
Children's Family Services,Equipment and Materials Purcha,BARTLETTS KEY SERVICES,11/06/2015,4232,81.61
Children's Family Services,Equipment and Materials Purcha,BARTLETTS KEY SERVICES,25/03/2016,7597,26.25
Children's Family Services,Training,BECCLES LIBRARY,16/06/2015,4301,400
Children's Family Services,Food Costs,BIG BEN FISHERIES,14/08/2015,4998,17.88
Children's Family Services,Other Agencies - Third Party P,BIG YELLOW SELF STORAG,14/05/2015,3109,244.96
Children's Service DSG,Subscriptions,BILD CHARITY IMPREST A,11/06/2015,4223,90
Children's Family Services,Other Services,BITTACY CS LTD,08/07/2015,4597,119
Assurance,Conference Expenses,BLACKPOOL HILTON,01/10/2015,5506,170
Assurance,Cleaning and domestic material,BLAKES DRY CLEANER,21/05/2015,5718,21
Assurance,Cleaning and domestic material,BLAKES DRY CLEANER,21/05/2015,5722,10.99
Assurance,Miscellaneous Expenses,BLAKES DRY CLEANER LTD,01/02/2016,6890,9.58
Assurance,Miscellaneous Expenses,BLAKES DRY CLEANER LTD,06/08/2015,4906,6.67
Assurance,Miscellaneous Expenses,BLAKES DRY CLEANER LTD,11/05/2015,3085,28.73
Assurance,Miscellaneous Expenses,BLAKES DRY CLEANER LTD,23/06/2015,4399,12.5
Assurance,Miscellaneous Expenses,BLAKES DRY CLEANER LTD,28/07/2015,4817,27.49
Children's Family Services,Other Transfer Payments to Soc,BLUE INC.,07/12/2015,6296,67.01
Children's Family Services,Equipment and Materials Purcha,BOOTS 1656,06/01/2016,6586,3.59
Children's Family Services,Other Transfer Payments to Soc,BOOTS 1656,15/09/2015,5331,3.59
Children's Family Services,Other Transfer Payments to Soc,BOOTS 6509,11/05/2015,3086,22.02
Children's Family Services,Other Transfer Payments to Soc,"BOOTS,0785",08/02/2016,6982,27.63
Children's Family Services,Other Transfer Payments to Soc,"BOOTS,0785",31/08/2015,5179,34.98
Children's Family Services,Equipment and Materials Purcha,BOOTS.COM0000000000,21/05/2015,5708,101.62
Streetscene,Operating Leases - Transport,BOWMONK LTD,25/02/2016,7213,65.83
Children's Family Services,Other Services,BOX.COM UK LTD GBP,22/02/2016,7169,12.6
Children's Family Services,Other Services,BOX.COM UK LTD GBP,24/02/2016,7196,-12.6
Assurance,Vehicle Running Costs,BP KELLYS CORNER CO,21/05/2015,5719,4
Assurance,Vehicle Running Costs,BP KELLYS CORNER CO,21/05/2015,5720,9
Assurance,Miscellaneous Expenses,BP KELLYS CORNER CONNE,08/07/2015,4581,7.5
Assurance,Miscellaneous Expenses,BP KELLYS CORNER CONNE,15/07/2015,4661,9.41
Children's Family Services,Other Transfer Payments to Soc,BRAGGS,09/07/2015,4611,34.95
Children's Family Services,Other Transfer Payments to Soc,BRAGGS,17/12/2015,6440,19.95
Children's Service DSG,Equipment and Materials Purcha,BRAIN SENSE THERAPY,10/12/2015,6339,43
Children's Family Services,Other Services,BRILLIANT BINS HYGIENE,10/09/2015,5280,133.5
Children's Education & Skills,Training,BRIT PSYCHOLOGICAL,02/02/2016,6915,68.33
Children's Family Services,Miscellaneous Expenses,BRITISH GAS BUSINE,27/01/2016,6836,405.93
Children's Family Services,Books-CDs-Audio-Video,BROTHER & SONS LIMITED,10/02/2016,7036,3.08
Children's Family Services,Other Transfer Payments to Soc,BROWN BASIC,28/09/2015,5456,45
Children's Family Services,Other Services,BT BILL PAYMENT 1,08/01/2016,6601,74.2
Children's Family Services,Other Services,BT BILL PAYMENT 1,12/06/2015,4250,82.43
Children's Family Services,Other Services,BT BILL PAYMENT 1,23/09/2015,5399,74.41
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,01/06/2015,3276,59.87
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,01/06/2015,3277,76.01
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,02/12/2015,6246,83.88
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,02/12/2015,6247,212.28
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,07/09/2015,5241,74.93
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,07/09/2015,5242,59.92
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,08/09/2015,5263,206.74
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,20/05/2015,3159,176.19
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,26/11/2015,6159,83.15
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,26/11/2015,6160,67.16
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,28/05/2015,3245,88.4
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,28/05/2015,3246,240.14
Children's Family Services,Telephones Calls,BT BILL PAYMENT 1,28/05/2015,3247,74.48
Children's Family Services,E19 - Learning Resources,BT PAY BY PHONE,17/12/2015,6423,79.78
Children's Family Services,Education CFR Administrative S,BT PAY BY PHONE,09/10/2015,5584,44.93
Children's Family Services,Education CFR Administrative S,BT PAY BY PHONE,22/02/2016,7153,80.71
Children's Family Services,Education CFR Administrative S,BT PAY BY PHONE,24/11/2015,6122,308.15
Children's Family Services,Education CFR Administrative S,BT PAY BY PHONE,26/01/2016,6806,85.69
Children's Family Services,Other Services,BT PAY BY PHONE,06/11/2015,5904,192.16
Children's Family Services,Other Services,BT PAY BY PHONE,07/08/2015,4917,192.82
Children's Family Services,Other Services,BT PAY BY PHONE,10/02/2016,7032,192.16
Children's Family Services,Telephones Calls,BT PAY BY PHONE,01/03/2016,7266,232.27
Children's Family Services,Telephones Calls,BT PAY BY PHONE,03/03/2016,7324,83.39
Children's Family Services,Telephones Calls,BT PAY BY PHONE,03/03/2016,7325,67.15
Children's Family Services,Telephones Calls,BT PAY BY PHONE,03/07/2015,4544,99.22
Children's Family Services,Telephones Calls,BT PAY BY PHONE,04/02/2016,6959,78.6
Children's Family Services,Telephones Calls,BT PAY BY PHONE,04/11/2015,5883,76.2
Children's Family Services,Telephones Calls,BT PAY BY PHONE,06/08/2015,4909,96.2
Children's Family Services,Telephones Calls,BT PAY BY PHONE,20/05/2015,3158,187
Children's Family Services,Telephones Calls,BT PAY BY PHONE,20/10/2015,5678,49.33
Children's Family Services,Telephones Calls,BT PAY BY PHONE,21/07/2015,4715,57.83
Children's Family Services,Telephones Calls,BT PAY BY PHONE,22/12/2015,6507,66.9
Children's Family Services,Telephones Calls,BT PAY BY PHONE,27/08/2015,5153,76.92
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT LTD,20/11/2015,6078,24.03
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT LTD,24/08/2015,5088,61.9
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT LTD,25/09/2015,5427,49.93
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT LTD,25/09/2015,5428,45.69
Children's Family Services,Equipment and Materials Purcha,BUILDER DEPOT LTD,21/09/2015,5362,15.92
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT N11,05/10/2015,5528,16.5
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT N11,07/10/2015,5558,19.95
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT N11,20/11/2015,6079,16.68
Children's Family Services,Building Repairs & Maintenance,BUILDER DEPOT N11,21/01/2016,6756,50.51
Children's Family Services,Equipment and Materials Purcha,BUILDER DEPOT N11,03/09/2015,5210,12.71
Children's Family Services,Equipment and Materials Purcha,BUILDER DEPOT N11,29/01/2016,6861,37.6
Children's Family Services,Food Costs,BURGER KING,27/08/2015,5141,10.77
Children's Family Services,Other Services,BUYAGIFT PLC,12/08/2015,4979,70.99
Children's Family Services,Equipment and Materials Purcha,BUYSPARES,14/09/2015,5301,4.98
Children's Family Services,Training,C I L I P,15/09/2015,5323,195
Children's Family Services,Other Transfer Payments to Soc,C.E.S.,25/09/2015,5435,124.17
Assurance,Other Indirect Employee Expens,CAFE 57 LTD,25/11/2015,6137,58.55
Children's Family Services,Food Costs,CAFE RITAZZA,28/08/2015,5172,7.84
Assurance,Miscellaneous Expenses,CAMDEN COUNCIL,28/01/2016,6849,1
Children's Family Services,Other Agencies - Third Party P,CAMP BEAUMONT DAY CAMP,24/08/2015,5086,48.18
Children's Family Services,Other Agencies - Third Party P,CAMP BEAUMONT DAY CAMP,25/08/2015,5118,139.4
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,03/12/2015,6261,3.42
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/02/2016,7123,20.98
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/02/2016,7124,6.51
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/12/2015,6453,6.19
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,18/12/2015,6454,19.92
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,19/01/2016,6728,6.48
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,19/01/2016,6729,20.85
Commissioning,Equipment and Materials Purcha,CAMPAIGNMONITOR,23/02/2016,7183,71.55
Assurance,Miscellaneous Expenses,CANFORD AUDIO PLC,22/10/2015,5729,172.8
Adults and Communities,Training,CAPITA BUS SVS-MOTO,12/06/2015,4252,420
Children's Family Services,Equipment and Materials Purcha,CAPITA RECRUITMENT VET,15/10/2015,5639,43.42
Children's Family Services,Other Services,CAPITAL FIRE RISK ASSE,27/08/2015,5145,234
Children's Family Services,Other Transfer Payments to Soc,CAR LIMITS LTD,05/10/2015,5543,30
Children's Education & Skills,Food Costs,CARMELLI BAKERIES LTD,04/05/2015,3053,200
Children's Family Services,Equipment and Materials Purcha,CARPETRIGHT,19/01/2016,6716,132.32
Children's Family Services,Equipment and Materials Purcha,CARPETRIGHT00000000,21/05/2015,5801,486.14
Children's Family Services,Other Transfer Payments to Soc,CARPHONE WAREHOUSE,22/06/2015,4373,99.99
Children's Family Services,Other Transfer Payments to Soc,CARPHONE WAREHOUSE,26/06/2015,4446,24.99
Children's Family Services,Publications,CARTRIDGESAVE.CO.UK,04/08/2015,4879,232.47
